,Quote Requested,Company,Company Size,Company Industry,Revenue,Title,Job Function,Management Level
1100,0,Company 1,61.0,Industrial Machinery & Equipment,12039.0,Mechanical Engineering,Hardware Engineering,Non-Manager
211,1,Company 2,50.0,Consumer Electronics,9868.0,Senior Mechanical Engineer,Hardware Engineering,Non-Manager
893,0,Company 3,49.0,Semiconductor & Semiconductor Equipment,9670.0,Mechanical Engineer,Hardware Engineering,Non-Manager
861,1,Company 4,40.0,Industrial Machinery & Equipment,7894.0,"Manager, Mechanical Engineering",Hardware Engineering,Manager
829,0,Company 5,21.0,Industrial Machinery & Equipment,4144.0,Sales Manufacturing Engineer,Operations,Non-Manager
594,1,Company 6,37.0,Electronics,10000.0,"Director, Mechanical Engineering",Infrastructure,Director
1767,0,Company 7,98.0,Music & Music Related Services,33000.0,"Vice President, Operations",Operations,VP-Level
1816,0,Company 8,174.0,Industrial Machinery & Equipment,108628.0,Senior Mechanical Engineer,Hardware Engineering,Non-Manager
1082,0,Company 9,59.0,Motor Vehicle Parts,11767.0,Manufacturing Engineer,Engineering,Non-Manager
215,1,Company 10,44.0,Medical Devices & Equipment,8800.0,Senior Mechanical Engineer,Hardware Engineering,Non-Manager
178,1,Company 11,44.0,Industrial Machinery & Equipment,8800.0,Mechanical Engineer,Hardware Engineering,Non-Manager
776,0,Company 12,50.0,"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",50000.0,Manufacturing Engineer,Engineering,Non-Manager
48,0,Company 13,46.0,Industrial Machinery & Equipment,9078.0,Mechanical Drafter and Engineer,Engineering,Non-Manager
359,0,Company 14,68.0,Plumbing & HVAC Equipment,13420.0,Resident Mechanical Engineer,Hardware Engineering,Non-Manager
814,1,Company 15,20.0,Industrial Machinery & Equipment,3947.0,"Manager, Mechanical Engineering",Hardware Engineering,Manager
1198,0,Company 16,97.0,Industrial Machinery & Equipment,20000.0,Design Engineer,Engineering,Non-Manager
867,0,Company 17,77.0,Industrial Machinery & Equipment,15197.0,"Manager, Manufacturing Engineering",Operations,Manager
2817,0,Company 18,66.0,Electronics,13200.0,Purchaser and Tool Crib Manager,Contracts,Manager
1096,0,Company 19,4.0,Industrial Machinery & Equipment,789.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1769,0,Company 20,116.0,Industrial Machinery & Equipment,23200.0,"Manufacturing Director, Engineering",Operations,Director
2343,0,Company 21,30.0,Manufacturing,14100.0,Staff Design Engineer,Engineering,Non-Manager
331,1,Company 22,85.0,Plumbing & HVAC Equipment,16776.0,"Mechanical, Preferred Special Combustion Engineering Designer",Engineering,Non-Manager
207,0,Company 23,33.0,Aerospace & Defense,6471.0,Mechanical Engineer,Hardware Engineering,Non-Manager
621,0,Company 24,74.0,Medical Devices & Equipment,14800.0,"Director, Manufacturing Engineering",Infrastructure,Director
871,0,Company 25,33.0,Chemicals,7071.0,Mechanical Design Engineer,Engineering,Non-Manager
381,1,Company 26,54.0,Industrial Machinery & Equipment,10657.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2895,0,Company 27,25.0,Electronic Components,4934.0,Production Service Manager,Operations,Manager
479,0,Company 28,90.0,Building Materials,18000.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1044,0,Company 29,6.0,Manufacturing General,1184.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1296,0,Company 30,58.0,"Miscellaneous Building Materials (Flooring, Cabinets, etc.)",11447.0,Product Engineer,Engineering,Non-Manager
465,0,Company 31,76.0,Consumer Electronics,14999.0,Mechanical Engineer,Hardware Engineering,Non-Manager
2207,0,Company 32,132.0,Household Goods,8480.0,"Project Manager, CAD Design",Technical,Manager
906,0,Company 33,2.0,Industrial Machinery & Equipment,394.0,Manufacturing Design Engineer,Engineering,Non-Manager
2987,0,Company 34,39.0,Manufacturing,7800.0,"Manager, Production",Operations,Manager
3088,0,Company 35,52.0,Industrial Machinery & Equipment,10400.0,"Director, Operations",Operations,Director
751,1,Company 36,8.0,Manufacturing General,1578.0,Mechanical Engineer,Hardware Engineering,Non-Manager
1131,0,Company 37,65.0,Industrial Machinery & Equipment,12828.0,"Manager, Manufacturing Engineering",Operations,Manager
709,0,Company 38,42.0,Telecommunication Equipment,8289.0,"Engineering, Manufacturing",Infrastructure,Non-Manager
2139,0,Company 39,331.0,Telephony & Wireless,32525.0,Sourcing Material and and MKS,Sourcing,Non-Manager
2825,0,Company 40,48.0,Electronic Components,79300.0,Purchasing,Contracts,Non-Manager
2307,0,Company 41,181.0,Household Goods,35723.0,Manufacturing Engineer,Engineering,Non-Manager
1257,0,Company 42,76.0,Medical Devices & Equipment,18763.0,Senior Research Engineer,Engineering,Non-Manager
3013,0,Company 43,64.0,Industrial Machinery & Equipment,12631.0,"Manager, Production",Operations,Manager
2716,0,Company 44,21.0,Motor Vehicle Parts,4188.0,"Vice President, Development, Product Engineering",Engineering,VP-Level
1691,0,Company 45,74.0,Industrial Machinery & Equipment,14605.0,"Manager, Business Development & Product Introduction",Business Development,Manager
1046,1,Company 46,17.0,Chemicals,3642.0,Manufacturing Engineer,Engineering,Non-Manager
1170,0,Company 47,11.0,Manufacturing General,35830.0,Mechanical Engineer,Hardware Engineering,Non-Manager
986,0,Company 48,22.0,"Plastic, Packaging & Containers",5000.0,Manufacturing Engineer,Engineering,Non-Manager
1012,0,Company 49,47.0,Medical Devices & Equipment,9400.0,Manufacturing Engineer,Engineering,Non-Manager
837,0,Company 50,71.0,Manufacturing General,14012.0,"Manager, Manufacturing Engineering",Operations,Manager
283,0,Company 51,80.0,"Lumber, Wood Production & Timber Operations",16002.0,Mechanical Engineer,Hardware Engineering,Non-Manager
979,1,Company 52,29.0,Semiconductor & Semiconductor Equipment,6323.0,Manufacturing & Design Engineer,Engineering,Non-Manager
2329,0,Company 53,26.0,Test & Measurement Equipment,5131.0,"Manager, Engineering Design Services",Engineering,Manager
174,0,Company 54,41.0,Industrial Machinery & Equipment,9360.0,Mechanical Engineer,Hardware Engineering,Non-Manager
473,0,Company 55,72.0,Manufacturing General,14400.0,Mechanical Engineering Associate,Hardware Engineering,Non-Manager
